State/UT,Year,Accounts_Disbursed,Amount_Disbursed_Crores,Outstanding_Accounts_2021,Outstanding_Amount_Crores_2021,STEM_Enrollment_Total,STEM_Enrollment_Female,STEM_Enrollment_Male,Region,Average_Loan_Size_Lakhs,STEM_Enrollment_Female_Pct,Growth_Rate_2021_to_2023_Pct
Puducherry,2021-22,1620,58.01,16831,430.1,35609.0,15801.0,19808.0,South,3.580864197530864,44.37361341233958,3.1201516979831103
Puducherry,2022-23,2001,89.32,16831,430.1,35609.0,15801.0,19808.0,South,4.463768115942029,44.37361341233958,3.1201516979831103
Puducherry,2023-24,1518,59.82,16831,430.1,35609.0,15801.0,19808.0,South,3.940711462450593,44.37361341233958,3.1201516979831103
Rajasthan,2021-22,12725,465.05,43102,2083.31,517902.0,153091.0,364811.0,North,3.654616895874263,29.559839506315868,-20.610687022900766
Rajasthan,2022-23,14792,609.95,43102,2083.31,517902.0,153091.0,364811.0,North,4.123512709572743,29.559839506315868,-20.610687022900766
Rajasthan,2023-24,12032,369.2,43102,2083.31,517902.0,153091.0,364811.0,North,3.0684840425531914,29.559839506315868,-20.610687022900766
Sikkim,2021-22,125,3.41,765,20.44,7918.0,2660.0,5258.0,Northeast,2.728,33.59434200555696,12.316715542521992
Sikkim,2022-23,185,7.65,765,20.44,7918.0,2660.0,5258.0,Northeast,4.135135135135135,33.59434200555696,12.316715542521992
Sikkim,2023-24,139,3.83,765,20.44,7918.0,2660.0,5258.0,Northeast,2.7553956834532376,33.59434200555696,12.316715542521992
Tamil Nadu,2021-22,56183,1419.25,625735,16301.93,2033173.0,829313.0,1203860.0,South,2.526120000711959,40.789101566861255,15.661793200634136
Tamil Nadu,2022-23,80119,2225.79,625735,16301.93,2033173.0,829313.0,1203860.0,South,2.7781050687102935,40.789101566861255,15.661793200634136
Tamil Nadu,2023-24,78655,1641.53,625735,16301.93,2033173.0,829313.0,1203860.0,South,2.0870001907062488,40.789101566861255,15.661793200634136
Telangana,2021-22,19658,1418.97,62962,5064.1,715664.0,328138.0,387526.0,South,7.218282633024723,45.85084620715867,14.457670000070463
Telangana,2022-23,33835,2326.41,62962,5064.1,715664.0,328138.0,387526.0,South,6.875749963056007,45.85084620715867,14.457670000070463
Telangana,2023-24,40281,1624.12,62962,5064.1,715664.0,328138.0,387526.0,South,4.031975373004642,45.85084620715867,14.457670000070463
Tripura,2021-22,696,16.47,4386,106.86,15691.0,5916.0,9775.0,Northeast,2.3663793103448274,37.70314192849404,-4.007285974499079
Tripura,2022-23,816,22.72,4386,106.86,15691.0,5916.0,9775.0,Northeast,2.784313725490196,37.70314192849404,-4.007285974499079
Tripura,2023-24,677,15.81,4386,106.86,15691.0,5916.0,9775.0,Northeast,2.3353028064992616,37.70314192849404,-4.007285974499079
Uttar Pradesh,2021-22,27646,823.45,105142,4269.58,1662093.0,525885.0,1136208.0,Central,2.9785502423497072,31.639926285713255,-0.3946809156597243
Uttar Pradesh,2022-23,33688,1154.25,105142,4269.58,1662093.0,525885.0,1136208.0,Central,3.4262942293991925,31.639926285713255,-0.3946809156597243
Uttar Pradesh,2023-24,31037,820.2,105142,4269.58,1662093.0,525885.0,1136208.0,Central,2.642652318200857,31.639926285713255,-0.3946809156597243
Uttarakhand,2021-22,5938,192.8,19899,903.13,164535.0,58412.0,106123.0,North,3.2468844728864936,35.50126112985079,-5.60165975103735
Uttarakhand,2022-23,7575,260.79,19899,903.13,164535.0,58412.0,106123.0,North,3.442772277227723,35.50126112985079,-5.60165975103735
Uttarakhand,2023-24,7130,182.0,19899,903.13,164535.0,58412.0,106123.0,North,2.552594670406732,35.50126112985079,-5.60165975103735
West Bengal,2021-22,21963,563.85,71639,3005.12,399650.0,121028.0,278622.0,East,2.5672722305695945,30.283498060803204,9.511394874523365
West Bengal,2022-23,39778,915.14,71639,3005.12,399650.0,121028.0,278622.0,East,2.300618432299261,30.283498060803204,9.511394874523365
West Bengal,2023-24,35688,617.48,71639,3005.12,399650.0,121028.0,278622.0,East,1.7302174400358663,30.283498060803204,9.511394874523365
